file,overall,pitch,rhythm,intS,intA,intT,intB,harmony,parallel,repeated
generated/chorale_329.csv,10.1869,0.9708,0.3743,1.0820,1.7028,1.4096,1.1142,1.0015,1.4010,1.1306
generated/chorale_342.csv,10.3282,1.1637,0.3254,1.0140,1.5480,1.5678,1.5627,0.9988,1.0856,1.0621
generated/chorale_332.csv,10.7220,1.1632,0.6526,1.1973,1.1552,1.8641,1.3997,1.0302,0.7809,1.4787
generated/chorale_359.csv,11.0244,0.7301,0.8128,1.2823,1.1411,1.7637,1.2664,0.7018,1.9997,1.3264
generated/chorale_316.csv,11.0460,0.6398,0.9505,1.1990,1.8195,1.9674,1.2132,0.7026,1.2327,1.3213
generated/chorale_313.csv,11.1140,0.6645,1.1387,1.2827,1.3380,1.6736,1.2594,0.6030,1.9779,1.1762
generated/chorale_368.csv,11.1281,0.9333,0.5834,1.2231,1.2960,1.8641,1.4335,0.8180,1.3684,1.6084
generated/chorale_326.csv,11.1313,1.0344,0.7626,1.0459,1.3639,1.5376,1.2532,1.0555,1.8613,1.2169
generated/chorale_330.csv,11.2877,1.2216,0.2738,1.1065,1.3783,1.5975,1.4043,1.0354,2.1791,1.0913
generated/chorale_341.csv,11.4158,0.7706,1.1217,0.9959,1.9934,1.7246,2.4482,0.7368,0.6186,1.0059
generated/chorale_351.csv,11.4217,1.0580,0.6538,0.9449,1.3277,1.5784,1.6348,0.8277,1.3960,2.0004
generated/chorale_362.csv,11.9892,1.3254,1.4290,1.4946,1.8723,1.5308,2.0664,0.9428,0.0087,1.3192
generated/chorale_355.csv,12.1892,1.0377,0.6513,1.3642,1.2615,1.8641,1.4066,0.9012,1.0935,2.6091
generated/chorale_308.csv,12.1987,0.5862,0.9647,1.6550,1.6552,2.3098,1.8362,0.6344,0.0000,2.5570
generated/chorale_374.csv,12.2169,0.7177,0.7820,0.9908,1.4848,1.7863,1.5197,0.4099,3.1991,1.3267
generated/chorale_380.csv,12.3310,1.3828,0.7602,1.1864,1.6552,1.7463,1.5077,1.2446,1.0998,1.7480
generated/chorale_366.csv,12.5083,0.7682,0.5902,0.9378,1.3509,1.5433,1.4855,0.9952,0.7922,4.0452
generated/chorale_337.csv,12.5673,0.9100,1.7036,0.9241,1.8417,1.4674,2.6546,1.1824,0.8006,1.0829
generated/chorale_323.csv,12.9174,1.2331,0.5355,1.0942,1.2660,1.7732,1.3656,1.0859,1.9493,2.6147
