note0,note1,note2,note3
64,69,64,57
64,67,62,57
64,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
60,67,61,57
60,67,61,57
60,67,61,57
60,67,61,57
62,67,61,57
62,67,61,57
62,67,61,57
62,67,61,57
64,67,61,57
64,67,61,57
62,67,61,57
62,67,61,57
60,67,61,57
60,67,61,57
60,67,61,57
60,67,61,57
59,67,61,57
59,67,61,57
59,67,61,57
59,67,61,57
57,67,61,57
57,67,61,57
57,67,61,57
57,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
62,67,61,57
62,67,61,57
62,67,61,57
62,67,61,57
67,67,61,57
67,67,61,57
67,67,61,57
67,67,61,57
64,67,61,57
64,67,61,57
62,67,61,57
62,67,61,57
60,67,61,57
60,67,61,57
60,67,61,57
60,67,61,57
62,67,61,57
62,67,61,57
62,67,61,57
62,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
64,67,61,57
66,67,61,57
66,67,61,57
67,67,61,57
67,67,61,57
67,67,61,57
67,67,61,57
69,69,62,57
69,69,62,57
71,69,64,57
71,69,64,57
72,69,64,57
72,69,64,57
72,69,64,57
72,69,64,52
71,68,64,52
71,68,64,52
71,68,64,52
71,64,60,57
69,64,60,57
69,64,60,57
69,64,60,57
69,64,60,57
68,64,60,57
68,64,60,57
68,64,60,57
68,64,60,57
69,64,60,57
69,64,60,57
69,64,60,57
69,64,60,57
69,64,60,57
69,64,60,57
69,64,60,57
69,64,62,57
71,68,62,52
71,68,62,52
71,68,62,52
71,64,60,45
69,64,60,45
69,64,60,45
69,64,60,45
69,64,60,45
67,64,60,45
67,64,60,45
67,64,60,45
67,64,60,45
66,64,60,45
66,64,60,45
66,64,60,45
66,64,60,45
64,64,60,45
64,64,60,45
64,64,60,45
64,64,60,45
66,64,60,45
66,64,60,45
66,64,60,45
66,64,60,45
64,64,60,45
64,64,60,45
64,64,60,45
64,64,60,45
69,64,60,45
69,64,60,45
69,64,60,45
69,64,61,33
67,64,61,33
67,64,61,33
67,64,61,33
67,64,61,33
66,64,61,33
66,64,61,33
66,64,61,33
66,64,61,33
67,64,61,33
67,64,61,33
65,64,61,33
65,64,61,33
64,64,61,33
64,64,61,33
64,64,61,33
64,64,61,33
64,64,61,33
64,64,61,33
64,64,61,33
64,64,61,33
62,64,61,33
62,64,61,33
62,64,61,33
62,64,61,33
60,64,61,33
60,64,61,33
60,64,61,33
60,64,61,33
64,64,61,33
64,64,61,33
64,64,61,33
64,64,61,33
65,64,61,33
65,64,61,33
65,64,61,33
65,64,61,33
64,64,61,33
64,64,61,33
62,64,61,33
62,64,61,33
60,64,61,33
60,64,61,33
60,64,61,33
60,64,61,33
62,64,61,33
62,64,61,33
62,64,61,33
62,64,61,33
60,64,61,33
60,64,61,33
60,64,61,33
60,64,61,33
59,64,61,33
59,64,61,33
59,64,61,33
59,64,61,33
57,64,61,33
57,64,61,33
57,64,61,33
57,64,61,33
57,64,61,33
57,64,61,33
57,64,61,33
57,64,61,33
