note0,note1,note2,note3
69,69,60,57
69,67,62,59
69,67,60,60
69,64,55,58
69,65,57,57
69,67,57,45
69,67,58,38
69,66,57,38
67,64,55,38
67,66,57,38
67,64,55,38
67,66,57,38
65,64,55,38
65,66,57,38
65,64,55,38
65,66,57,38
64,64,55,38
64,66,57,38
64,64,55,38
64,66,57,38
64,64,55,38
64,66,57,38
64,64,55,38
64,66,57,38
62,64,55,38
62,66,57,38
62,64,55,38
62,66,57,38
62,64,55,38
62,66,57,38
62,64,55,38
62,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
71,64,55,38
71,66,57,38
71,64,55,38
71,66,57,38
73,64,55,38
73,66,57,38
73,64,57,57
73,64,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,71,67,55
74,72,67,60
73,72,69,60
73,66,69,62
73,66,71,62
73,67,64,64
73,69,62,66
73,69,62,67
73,67,62,67
73,67,64,60
74,67,59,55
74,67,60,60
76,69,60,57
76,69,60,55
77,69,60,53
77,69,65,50
77,71,65,50
77,72,67,48
76,72,67,60
76,72,67,48
76,72,67,60
76,72,67,48
76,67,60,60
76,69,60,57
76,69,60,55
76,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,67,60,60
69,64,55,58
69,65,57,57
69,67,57,45
69,67,58,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
67,66,57,38
67,64,55,38
67,66,57,38
67,64,55,38
65,66,57,38
65,64,55,38
65,66,57,38
65,64,55,38
64,66,57,38
64,64,55,38
64,66,57,38
64,64,55,38
64,66,57,38
64,64,55,38
64,66,57,38
64,64,55,38
62,66,57,38
62,64,55,38
62,66,57,38
62,64,55,38
62,66,57,38
62,64,55,38
62,66,57,38
62,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
71,66,57,38
71,64,55,38
71,66,57,38
71,64,55,38
73,66,57,38
73,64,55,38
73,66,57,38
73,64,57,57
74,65,57,50
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,71,67,55
74,72,67,60
73,72,69,60
73,66,69,62
73,66,71,62
73,67,64,64
73,69,62,66
73,69,62,67
73,67,62,67
73,67,64,60
74,67,59,55
74,67,60,60
76,69,60,57
76,69,60,55
77,69,60,53
77,69,65,50
77,71,65,50
77,72,67,48
76,72,67,60
76,72,67,48
76,72,67,60
76,72,67,48
76,67,60,60
76,69,60,57
76,69,60,55
76,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,69,60,53
74,67,59,55
74,67,60,60
69,64,55,58
69,65,57,57
69,67,57,45
69,67,58,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
70,66,57,38
70,64,55,38
70,66,57,38
70,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
67,66,57,38
67,64,55,38
69,66,57,38
70,64,55,38
67,66,57,38
67,64,55,38
67,66,57,38
67,64,55,38
65,66,57,38
65,64,55,38
65,66,57,38
65,64,55,38
65,66,57,38
65,64,55,38
65,66,57,38
65,64,57,57
69,65,62,57
69,64,64,55
69,62,65,53
69,60,67,52
71,60,67,53
71,62,65,52
71,62,65,50
71,55,64,48
72,67,64,48
72,67,64,48
72,67,64,48
72,76,64,48
69,74,57,50
69,74,58,50
69,72,55,52
69,72,57,53
74,67,59,55
74,69,60,53
74,67,59,55
74,67,64,48
72,67,64,48
72,67,60,60
71,64,55,58
71,65,57,57
71,67,57,45
71,67,58,38
71,66,57,38
71,64,55,38
71,66,57,38
71,64,55,38
71,66,57,38
71,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,55,38
69,66,57,38
69,64,57,57
74,67,59,55
74,69,60,53
74,67,59,55
74,65,59,55
67,64,60,48
67,64,59,48
67,52,57,48
67,54,59,47
65,57,59,47
65,57,59,40
64,55,59,40
64,54,59,40
64,57,59,40
64,55,59,40
64,54,59,40
64,57,59,40
64,55,59,40
64,54,59,40
64,57,59,40
64,55,59,40
62,54,59,40
62,57,59,40
62,55,59,40
62,54,59,40
62,57,59,40
62,55,59,40
62,54,59,40
62,57,59,40
62,55,59,40
62,54,59,40
62,57,59,40
62,55,59,40
62,54,59,40
62,57,59,40
62,55,59,40
62,54,59,40
