note0,note1,note2,note3
69,64,60,57
69,64,60,57
69,64,60,55
69,64,60,55
69,65,60,53
69,65,60,53
71,65,62,53
71,65,62,53
72,67,64,52
72,67,64,52
72,69,64,53
72,69,64,53
71,67,62,55
71,67,62,55
69,67,60,55
69,67,60,55
67,62,59,55
67,62,59,55
67,62,59,53
67,62,59,53
72,67,60,52
72,67,60,52
72,67,64,48
72,67,64,48
71,67,62,55
71,67,64,55
71,67,65,55
71,67,65,55
72,67,65,48
72,67,65,48
72,67,64,48
72,67,64,48
72,69,64,45
72,69,64,45
72,69,64,45
72,69,64,45
71,69,65,50
71,69,65,50
71,68,64,52
71,68,62,52
69,69,60,53
69,69,60,53
69,69,61,52
69,69,61,52
74,69,62,53
74,69,62,53
74,71,65,50
74,71,65,50
72,71,64,45
72,71,64,45
72,69,64,48
72,69,64,48
71,69,65,50
71,69,65,50
71,68,62,47
71,65,62,47
71,68,59,52
71,68,59,52
71,68,64,52
71,68,62,52
69,64,60,45
69,64,60,45
69,64,60,45
69,64,60,45
69,64,60,57
69,64,60,57
69,64,60,55
69,64,60,55
69,65,60,53
69,65,60,53
71,65,62,53
71,65,62,53
72,67,64,52
72,67,64,52
72,69,64,53
72,69,64,53
71,67,62,55
71,67,62,55
69,67,60,55
69,67,60,55
67,62,59,55
67,62,59,55
67,62,59,53
67,62,59,53
72,67,60,52
72,67,60,52
72,67,64,48
72,67,64,48
71,67,62,55
71,67,64,55
71,67,65,55
71,67,65,55
72,67,65,48
72,67,65,48
72,67,64,48
72,67,64,48
72,69,64,45
72,69,64,45
72,69,64,45
72,69,64,45
71,69,65,50
71,69,65,50
71,68,64,52
71,68,62,52
69,69,60,53
69,69,60,53
69,69,61,52
69,69,61,52
74,69,62,53
74,69,62,53
74,71,65,50
74,71,65,50
72,71,64,45
72,71,64,45
72,69,64,48
72,69,64,48
71,69,65,50
71,69,65,50
71,68,62,47
71,65,62,47
71,68,59,52
71,68,59,52
71,68,64,52
71,68,62,52
69,64,60,45
69,64,60,45
69,64,60,45
69,64,60,45
76,71,64,56
76,71,64,56
76,71,64,56
76,71,64,56
72,71,64,57
72,71,64,57
72,69,64,57
72,69,64,57
74,69,62,59
74,69,62,59
74,67,62,59
74,67,62,59
76,67,62,60
76,67,62,60
76,67,60,60
76,67,60,60
74,67,60,55
74,67,60,55
74,67,59,55
74,65,59,55
72,64,60,57
72,64,60,57
72,66,60,57
72,68,62,59
72,69,64,60
72,69,64,60
72,69,64,57
72,69,64,57
71,68,64,52
71,68,64,52
71,68,64,52
71,68,64,52
72,69,64,57
72,69,64,57
72,69,64,57
72,69,64,57
72,67,64,52
72,67,64,52
72,67,64,53
72,67,64,53
71,67,62,55
71,67,62,55
71,65,62,56
71,65,62,56
72,64,60,57
72,64,60,57
72,69,64,45
72,69,64,45
71,69,65,47
71,69,65,47
71,68,64,48
71,68,64,48
69,69,64,53
69,69,64,53
69,68,64,53
69,68,64,53
69,69,64,53
69,69,64,53
69,57,62,53
69,57,62,53
68,64,59,52
68,64,59,52
68,64,59,52
68,64,59,52
72,57,64,45
72,57,64,45
72,69,64,45
72,69,64,45
71,69,64,52
71,69,64,52
71,68,64,52
71,68,62,52
69,69,60,53
69,69,60,53
69,67,59,53
69,67,59,53
74,65,57,53
74,65,57,53
74,65,59,44
74,65,59,44
72,64,59,45
72,64,59,45
72,64,57,48
72,64,57,48
71,65,57,50
71,65,57,50
71,62,56,47
71,62,54,47
71,59,56,52
71,59,56,52
71,64,56,52
71,62,56,52
69,61,52,45
69,61,52,45
69,61,52,45
69,61,52,45
69,61,52,45
69,61,52,45
69,61,52,45
69,61,52,45
