file,overall,pitch,rhythm,intS,intA,intT,intB,harmony,parallel,repeated
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_341.csv,83.0478,0.6954,0.9390,13.2706,12.3798,12.5654,12.2269,1.2006,0.3225,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_323.csv,83.2145,0.7331,0.9423,13.2549,14.7256,11.1991,11.4432,1.1276,0.3412,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_332.csv,83.2636,0.7131,0.9410,13.0022,12.4674,11.9383,12.3289,1.2596,1.1657,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_371.csv,83.2825,0.7883,0.9423,13.9290,13.3633,11.8338,11.3996,1.1322,0.4466,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_319.csv,83.4442,0.4346,0.9444,11.8117,12.0928,12.9625,12.7632,1.2508,1.7368,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_352.csv,83.4873,0.8266,0.9415,14.4005,11.1150,12.8175,11.8378,1.1467,0.9542,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_336.csv,83.5127,0.6001,0.9430,13.5130,13.2418,13.0212,11.1459,1.1658,0.4344,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_366.csv,83.8509,0.8324,0.9396,13.5968,13.7941,11.7402,11.8947,1.1982,0.4074,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_329.csv,84.0202,0.7303,0.9422,12.9225,13.4408,14.4723,10.8822,1.1623,0.0202,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_343.csv,84.0221,0.6352,0.9430,13.6054,13.5645,12.2377,11.2978,1.1368,1.1544,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_330.csv,84.0594,0.6409,0.9437,11.6917,12.6652,11.4610,12.0101,1.3525,3.8469,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_378.csv,84.4473,0.6523,0.9390,12.6759,13.9455,12.9279,11.3885,1.1148,1.3560,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_307.csv,84.4937,0.8295,0.9403,13.8301,11.6211,13.5164,12.2600,1.1471,0.9018,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_338.csv,84.6402,0.6343,0.9419,14.3674,12.4410,12.5840,10.4932,1.0236,2.7074,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_345.csv,84.6579,0.6755,0.9417,12.9603,13.2498,12.9829,11.2370,1.1324,2.0309,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_334.csv,84.6662,0.6675,0.9420,13.0374,11.6216,12.7611,11.8454,1.1250,3.2188,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_379.csv,84.6899,0.5661,0.9402,11.3609,12.9351,13.8074,10.5559,1.0329,4.0442,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_318.csv,84.9056,0.6387,0.9422,13.5149,13.5186,12.4896,11.4027,1.0633,1.8882,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_311.csv,85.2529,0.6299,0.9405,12.7385,10.8700,12.1912,11.9366,1.1647,5.3340,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_331.csv,85.2676,0.5666,0.9414,13.8465,13.4733,11.6292,13.6716,1.1637,0.5278,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_309.csv,85.2756,0.7975,0.9399,12.9670,13.4940,12.9639,11.2171,1.0666,2.3823,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_328.csv,85.2996,0.7186,0.9419,13.5264,13.6330,12.0785,10.5538,1.1709,3.2292,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_315.csv,85.4958,0.8475,0.9412,11.9102,13.2139,11.2531,11.1419,1.1467,5.5941,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_327.csv,85.5224,0.6522,0.9425,14.3104,12.6904,12.6870,12.9063,1.1765,0.7096,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_377.csv,85.5663,0.6623,0.9421,13.5951,12.2972,12.4940,12.2578,1.2685,2.6018,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_339.csv,85.6255,0.4958,0.9413,12.3590,14.3009,12.8547,11.6161,1.1688,2.4414,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_337.csv,85.9734,0.7610,0.9413,13.9397,12.8700,12.5504,11.4904,1.1511,2.8222,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_346.csv,86.0543,0.6208,0.9410,12.4065,13.9651,12.5553,11.3377,1.2157,3.5649,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_317.csv,86.0794,0.9543,0.9424,13.0542,13.4674,12.7701,11.4757,1.1894,2.7784,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_372.csv,86.1000,0.7543,0.9383,14.1431,13.1094,12.5833,13.5685,1.1148,0.4410,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_325.csv,86.1649,0.7020,0.9393,12.8883,13.6692,12.7615,11.7284,1.2576,2.7712,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_306.csv,86.3683,0.4758,0.9420,13.2111,13.9745,13.2195,11.2528,1.0740,2.7712,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_350.csv,86.4605,0.8610,0.9390,13.0033,12.2934,13.1316,11.1878,1.1661,4.4310,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_340.csv,86.4934,0.7397,0.9420,13.5700,13.5255,11.8998,12.3384,1.1687,2.8620,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_351.csv,87.1005,0.7831,0.9402,12.3456,12.8259,13.8473,11.1727,1.1623,4.5760,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_312.csv,87.2259,0.9431,0.9396,13.8077,13.4912,13.8497,12.1210,1.2372,1.3889,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_308.csv,87.2325,0.7530,0.9430,14.9958,12.6802,13.4897,13.2705,1.1658,0.4871,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_335.csv,87.3259,0.7459,0.9436,12.2761,12.7377,12.9149,12.1993,1.1342,4.9268,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_354.csv,87.3910,0.7976,0.9433,12.4383,13.2020,12.1656,11.2133,1.2066,5.9769,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_361.csv,87.5619,0.5538,0.9425,11.8580,13.5761,12.8257,12.6559,1.1919,4.5106,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_380.csv,87.6136,0.6315,0.9435,12.9569,13.4268,12.8124,11.5059,1.1251,4.7641,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_322.csv,87.7704,0.7334,0.9418,13.1120,12.7077,12.2372,11.4466,1.2217,5.9226,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_356.csv,88.0940,0.7108,0.9433,12.0909,13.2947,11.7407,12.7301,1.1658,5.9703,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_314.csv,88.1502,0.6775,0.9432,14.0925,14.0075,12.4403,11.8438,1.1701,3.5278,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_381.csv,88.5334,0.7724,0.9419,12.5668,13.7903,13.3896,11.2870,1.1589,5.1792,29.4474
