note0,note1,note2,note3
80,60,47,57
74,62,49,70
67,66,42,68
75,50,52,79
82,44,76,43
77,80,51,43
82,76,40,52
45,79,66,47
64,70,60,82
74,68,66,40
44,59,62,56
47,77,64,66
70,63,84,59
71,50,42,54
78,70,46,61
73,62,77,78
53,68,58,76
81,77,80,70
79,55,79,83
49,81,55,70
48,83,62,83
57,42,60,80
75,58,79,82
57,48,63,48
62,64,77,59
70,75,65,41
57,58,45,78
43,42,65,40
67,82,52,61
44,82,44,62
73,64,58,75
68,57,61,60
40,51,69,75
73,70,49,53
84,49,79,78
53,65,67,51
54,55,60,43
64,70,56,69
45,58,73,63
53,78,83,52
71,56,81,41
44,72,48,59
75,71,65,51
51,78,60,58
64,80,48,60
80,55,72,66
69,68,74,46
52,74,69,48
80,78,50,43
46,43,52,47
51,76,84,79
81,48,81,56
60,70,42,60
75,78,45,51
59,67,71,73
60,67,59,81
64,44,62,73
57,72,58,50
50,77,66,78
51,82,44,83
77,43,47,84
76,50,45,69
78,65,43,40
54,71,82,59
77,46,62,40
76,77,64,57
84,44,59,83
52,80,68,66
49,77,41,44
76,68,74,79
79,80,71,75
40,47,50,40
45,49,51,60
52,58,79,40
70,68,72,76
73,69,61,62
68,63,54,68
69,55,67,62
52,50,65,41
74,74,84,75
43,76,47,61
48,81,66,42
43,72,65,65
83,69,59,65
80,66,65,83
71,40,79,59
46,69,70,66
57,70,53,76
48,70,61,79
54,53,52,51
53,58,84,64
78,70,83,70
65,50,74,63
63,84,81,81
51,52,52,82
51,65,81,51
67,68,60,76
58,73,57,74
68,69,40,76
46,44,42,69
55,43,56,55
78,82,76,52
46,58,53,80
76,82,77,52
60,71,73,45
79,74,78,69
84,72,66,56
64,62,79,45
53,53,67,49
46,77,76,48
67,51,55,80
78,78,64,84
80,60,77,74
74,64,52,58
58,53,83,70
49,66,42,67
55,69,44,48
81,48,83,81
82,68,60,49
76,66,56,78
42,77,84,46
65,53,72,65
67,70,80,41
48,46,50,59
67,76,76,70
67,60,64,75
42,63,80,45
48,61,46,40
67,82,48,49
63,55,83,63
53,41,64,75
65,76,70,63
76,50,62,40
77,74,51,74
65,63,57,41
81,63,69,49
59,46,51,59
69,49,43,58
67,57,54,51
65,84,68,66
48,80,81,84
54,73,60,45
69,50,47,74
63,73,66,44
46,41,83,72
62,53,64,49
60,83,67,51
47,53,59,66
75,48,42,51
55,83,66,57
62,71,50,56
63,51,73,63
84,62,60,70
50,74,58,78
59,77,51,61
68,63,44,63
74,64,43,60
70,59,46,83
77,57,71,69
64,79,81,78
70,74,84,49
67,82,73,53
72,82,67,54
49,63,82,56
